ID,Bathrooms,Bedrooms,Erf Size,Garages,ID,Listing Date,Price,Type of Property,Location
111,2.0,3.0,1 m²,1.0,1447,2019-09-27,1020000.0,House,"lat: 51.5073509,long: -0.1277583"
112,2.0,3.0,23 237 m²,2.0,1451,2019-10-10,1060000.0,House,"lat: 51.5073509,long: -0.1277583"
113,,3.0,,2.0,1453,2019-10-18,1960000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
114,2.0,6.0,,,1456,2019-10-29,980000.0,House,"lat: 51.5073509,long: -0.1277583"
115,2.0,2.0,,,1461,2019-10-21,799000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
116,2.0,3.0,1 254 m²,3.0,1462,2019-09-23,3150000.0,House,"lat: 51.5073509,long: -0.1277583"
117,2.0,3.0,,2.0,1470,2019-11-03,1590000.0,House,"lat: 51.5073509,long: -0.1277583"
118,2.0,3.0,1 080 m²,3.0,1479,2019-09-23,1750000.0,House,"lat: 51.5073509,long: -0.1277583"
119,1.0,2.0,70 m²,,1490,2019-09-03,720000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
120,2.0,3.0,1 m²,3.0,1497,2019-09-14,995000.0,House,"lat: 51.5073509,long: -0.1277583"
121,2.0,3.0,154 m²,1.0,1498,2019-10-08,1250000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
122,3.0,3.0,,2.0,1501,2019-10-25,1880000.0,House,"lat: 51.5073509,long: -0.1277583"
123,2.0,3.0,97 m²,1.0,1503,2019-10-29,1199000.0,House,"lat: 51.5073509,long: -0.1277583"
124,3.0,3.0,119 m²,1.0,1513,2019-05-28,1089000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
125,2.0,3.0,212 m²,2.0,1516,2019-10-13,2600000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
126,2.0,3.0,175 m²,2.0,1522,2019-08-27,1375000.0,House,"lat: 51.5073509,long: -0.1277583"
127,,3.0,308 m²,2.0,1526,2019-08-28,1550000.0,House,"lat: 51.5073509,long: -0.1277583"
128,2.0,3.0,921 m²,2.0,1529,2019-08-23,2095000.0,House,"lat: 51.5073509,long: -0.1277583"
129,2.0,3.0,55 m²,,1536,2019-08-22,861010.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
130,2.0,4.0,450 m²,2.0,1537,2019-10-02,1250000.0,House,"lat: 51.5073509,long: -0.1277583"
131,2.0,3.0,150 m²,,1541,2019-09-03,790000.0,House,"lat: 51.5073509,long: -0.1277583"
132,2.0,3.0,55 m²,,1544,2019-08-20,861010.0,House,"lat: 51.5073509,long: -0.1277583"
133,2.0,4.0,,1.0,1546,2019-11-04,1150000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
134,1.0,1.0,53 m²,,1548,2019-08-22,730000.0,House,"lat: 51.5073509,long: -0.1277583"
135,2.0,3.0,91 m²,,1552,2019-09-16,990000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
136,2.0,3.0,126 m²,1.0,1554,2019-10-08,1350000.0,Townhouse,"lat: 51.5073509,long: -0.1277583"
137,,4.0,2 414 m²,2.0,1558,2019-08-07,2200000.0,House,"lat: 51.5073509,long: -0.1277583"
138,3.0,4.0,,3.0,1559,2019-09-11,2600000.0,House,"lat: 51.5073509,long: -0.1277583"
139,2.0,3.0,366 m²,4.0,1567,2019-09-19,1675000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
140,3.0,4.0,1 500 m²,2.0,1572,2019-09-19,1990000.0,House,"lat: 51.5073509,long: -0.1277583"
141,2.0,3.0,99 m²,1.0,1575,2019-09-07,1075000.0,House,"lat: 51.5073509,long: -0.1277583"
142,4.0,4.0,1546 m²,3.0,1576,2019-08-23,4099000.0,House,"lat: 51.5073509,long: -0.1277583"
143,3.0,4.0,1 m²,,1586,2019-08-18,2350000.0,House,"lat: 51.5073509,long: -0.1277583"
144,2.0,3.0,1 345 m²,3.0,1588,2019-08-21,2400000.0,House,"lat: 51.5073509,long: -0.1277583"
145,2.0,3.0,200 m²,,1593,2019-10-10,1650000.0,House,"lat: 51.5073509,long: -0.1277583"
146,2.0,3.0,56 m²,,1594,2019-09-06,815000.0,House,"lat: 51.5073509,long: -0.1277583"
147,2.0,3.0,535 m²,1.0,1598,2019-08-26,2300000.0,House,"lat: 51.5073509,long: -0.1277583"
148,3.0,4.0,1 400 m²,1.0,1600,2019-08-27,2695000.0,House,"lat: 51.5073509,long: -0.1277583"
149,,3.0,,2.0,1602,2019-10-26,1960000.0,House,"lat: 51.5073509,long: -0.1277583"
150,,3.0,,2.0,1603,2019-10-26,1960000.0,House,"lat: 51.5073509,long: -0.1277583"
151,2.0,2.0,84 m²,,1606,2019-09-17,1599000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
152,,3.0,225 m²,,1607,2019-09-06,1995000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
153,2.0,2.0,98 m²,1.0,1608,2019-09-06,880000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
154,1.0,2.0,50 m²,,1611,2019-08-13,829700.0,House,"lat: 51.5073509,long: -0.1277583"
155,1.0,1.0,43 m²,1.0,1613,2019-10-07,890000.0,Apartment / Flat,"lat: 51.5073509,long: -0.1277583"
156,2.0,3.0,270 m²,,1627,2019-09-27,960000.0,House,"lat: 51.5073509,long: -0.1277583"
157,1.0,2.0,1 215 m²,,1628,2019-10-09,760000.0,House,"lat: 51.5073509,long: -0.1277583"
